Input,Ball's Mass,Launcher's Angle,Spring Pulled Length,Spring Constant ,Result,time, velocity, maximum height
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14
 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14
 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,30.0,3.0,400.0,,0.57,4.25,0.63
 ,24.0,45.0,4.0,444.0,,0.98,6.25,1.4
 ,33.0,45.0,4.0,444.0,,0.78,4.71,0.97
 ,100.0,45.0,10.0,100.0,,0.49,2.26,0.53
 ,100.0,45.0,10.0,100.0,,0.49,2.26,0.53
 ,100.0,45.0,10.0,100.0,,0.49,2.26,0.53
 ,10.0,45.0,10.0,100.0,,2.43,16.59,7.42
 ,10.0,45.0,10.0,100.0,,2.43,16.59,7.42
 ,10.0,45.0,10.0,1000.0,,8.57,59.37,90.22
 ,10.0,45.0,10.0,100.0,,2.43,16.59,7.42
 ,10.0,45.0,10.0,100.0,,2.43,16.59,7.42
 ,10.0,45.0,10.0,1000.0,,8.57,59.37,90.22
 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,30.0,4.0,580.0,,0.87,7.64,1.14
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,30.0,4.0,580.0,,0.87,7.64,1.14
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,30.0,3.0,580.0,,0.68,5.46,0.78
 ,24.0,80.0,3.0,580.0,,1.02,4.7,1.49
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,23.0,33.0,3.0,333.0,,0.56,3.75,0.61
 ,24.0,45.0,3.0,333.0,,0.6,3.23,0.67
 ,23.0,33.0,3.0,333.0,,0.56,3.75,0.61
 ,23.0,33.0,10.0,333.0,,1.78,15.63,4.09
 ,23.0,33.0,3.0,333.0,,0.56,3.75,0.61
 ,24.0,45.0,4.0,444.0,,0.98,6.25,1.4
 ,33.0,33.0,3.0,333.0,,0.47,2.7,0.51
 ,24.0,45.0,4.0,444.0,,0.98,6.25,1.4
 ,23.0,33.0,3.0,333.0,,0.56,3.75,0.61
 ,24.0,45.0,3.0,630.0,,0.88,5.45,1.16
 ,13.0,33.0,3.0,333.0,,0.81,6.41,1.02
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,23.0,3.0,3.0,333.0,,0.31,4.74,0.4
 ,33.0,33.0,10.0,100.0,,0.75,5.76,0.9
 ,33.0,33.0,10.0,100.0,,0.75,5.76,0.9
 ,33.0,33.0,10.0,100.0,,0.75,5.76,0.9
 ,11.0,11.0,11.0,111.0,,0.86,19.61,1.11
 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14
 ,24.0,30.0,3.0,620.0,,0.7,5.69,0.81
 ,24.0,80.0,4.0,300.0,,0.93,4.19,1.27
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,30.0,3.0,580.0,,0.68,5.46,0.78
 ,12.0,22.0,10.0,220.0,,1.8,23.04,4.2
 ,12.0,22.0,10.0,220.0,,1.8,23.04,4.2
 ,33.0,22.0,10.0,220.0,,0.81,9.26,1.01
 ,24.0,22.0,10.0,220.0,,1.01,12.21,1.47
 ,24.0,22.0,4.0,220.0,,0.5,4.35,0.54
 ,24.0,45.0,3.0,333.0,,0.6,3.23,0.67
 ,24.0,45.0,10.0,333.0,,2.19,14.91,6.06
 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,333.0,,0.6,3.23,0.67
